Criterion ID,Criterion name,Relevance based on use case parametrization,Evaluation requirement,Evaluation principle,Supportive guidance,Evaluation method,Evaluation tools,Reference to EU AI Act
PERF-05,Testing,Always relevant. ,Performance testing of the AI System shall be performed and documented. ,Document-based ,"Supplementary Definitions 
Not applicable. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Testing should include, for example: 
- Stress testing; 
- Performance testing on performance KPIs with inputs from the operational design domain of 
the system; 
- Performance testing against expected input perturbations/deviations; 
- Performance testing on Out-of-Distribution data; 
- Test scenarios/test cases for, e.g. interpretable model decisions. 
Tools which could be used for implementation: 
- tensorboard 
182 ","Verify that suitable performance tests were performed and the execution and the corresponding 
results are documented in a dedictated documentation. The documentation shall comprehen­
sive, so that reproducibility of the performed tests is given. ",Not applicable. ,"- 9 Risk Management System 
- 11 Technical documentation 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
183 "
PERF-06,Assessment of uncertainty,Always relevant. ,Uncertainty assessment of the AI system shall be performed with [measures] and documented. ,Test-based ,"Supplementary Definitions 
Uncertainty Assessment: 
The process of evaluating and quantifying the confidence or reliability of an AI system’s predic­
tions or outputs, often by analyzing how variations in inputs or conditions impact its perfor­
mance and decision-making. 
Exemplary [parameters] 
[measures]: e.g., Sensitivity analysis. 
Additional guidance regarding the requirement 
E.g., how do changes in individual features affect predictions, particularly for tabular data? 
What impact does user-provided data have on future changes to the AI service? 
If there are contractually defined performance requirements, deviations from these shall be 
made transparent to the user. ","Verify that an uncertainty assessment was conducted and documented and that it was per­
formed correctly, e.g., by testing whether variations in input features lead to unexpected changes 
(in the sense of not considered during uncertainty assessment) in the system’s predictions. 
184 ","- InterpretML - can be used to conduct sensitivity analysis and test how variations in individual 
input features affect the model’s predictions. Verify if the uncertainty quantification aligns with 
the documented assessment. 
- Deep Ensemble Tester - can be used to verify if ensemble-based uncertainty quantification 
produces stable confidence intervals and meaningful variance across multiple perturbed runs. ","- 11 Technical documentation 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
185 "
PERF-07,Error handling,Always relevant. ,"A procedure shall be in place to detect failures of the system. In case of a detected failure, the 
system shall answer with [error fallback functions]. ",Test-based ,"Supplementary Definitions 
Procedures (exemplary): 
Monitoring and Logging, Self-Checking Mechanisms, Error Detection Algorithms, ThresholdBased Alerts, Redundancy Checks, User Feedback Loops
Exemplary [parameters] 
[error fallback functions]: e.g., Error correction, determination of the erroneous state of the sys­
tem or deactivation of the system and notification of the bodies and parties concerned. 
Additional guidance regarding the requirement 
Not applicable. ","Verify that the system can successfully detect failures. Ensure that a fallback function, see sup­
portive guidance, is in place in the Event of a failure. 
186 ","- Chaos Monkey - can be used to randomly terminate system components or induce controlled 
failures to evaluate whether the system detects faults and responds correctly with error fallback 
mechanisms. 
-Metasploit - perform controlled penetration testing to determine if failures lead to unintended 
system behavior, ensuring fallback mechanisms handle faults securely. 
- Selenium - can be used to automate test scripts that simulate erroneous inputs, UI malfunc­
tions, or system crashes, verifying whether failures are detected and appropriate fallback actions 
are triggered. 
- Gremlin - can be use to inject controlled faults into the system, such as CPU spikes, memory 
leaks, or network failures, to test whether the system identifies these disruptions and executes 
error fallback functions accordingly. ","- 9 Risk Management System 
- 11 Technical Documentation 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
- 72 Post-market monitoring by providers for high-risk AI systems 
187 
Transparency 
Contents 
TR-01 -Assessment of the required degree of explainability . . . . . . . . . . . . . 189 
188 "
TR-01,Assessment of the required degree of explainability,Always relevant. ,The need and required degree for explanation of the system shall be assessed and documented. ,Document-based ,"Supplementary Definitions 
Explanation of the system: An explanation of a system refers to the information provided to 
make the system’s decisions, outputs, or behavior understandable to different stakeholders. This 
can include describing how, why, and under what conditions a decision or outcome was made. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
During the assessment, considerations should be given to: 
- Purpose of the system 
- Affected stakeholders 
- Potential damages resulting from the system 
- Needs and prerequisites for human decision making 
- Adequate handling of outliers 
- Organization’s obligations to reporting information to interested parties and regulators 
- The necessary information to users 
- Trade-off between model interpretability and performance 
189 
- Applicable legal and regulatory requirements and international standards that require the ex­
plainability of actions of the AI service 
- Justified interest by users, which requires the implementation of methods to improve explain­
ability ","Verify that the degree of explanation for the system has been assessed. Ensure that the docu­
mentation contains the assessed degree. ",Not applicable. ,"- 11 Technical Documentation 
- 13 Transparency and provision of information to deployers 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
- 86 Right to explanation of individual decision-making 
190 "
TR-02,Unique identification of AI actions,Always relevant. ,Actions carried out by the AI shall be uniquely identifiable to ensure authenticity. ,Document-based ,"Supplementary Definitions 
Action: 
Any action or event initiated or completed by the AI system that results in a change of state, data 
exchange, or processing outcome. 
Uniquely Identifiable: 
Each transaction has a distinct identifier (e.g., a transaction ID or hash) that makes it distinguish­
able from all other transactions. 
Authenticity: 
The assurance that the transaction is genuine, unaltered, and can be verified as having been car­
ried out by the AI system as intended, without unauthorized modifications or tampering. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Unique identifiers can for example be established with transactions ids, timestamps, digital sig­
natures, user or system metadata involved in the transaction. 
191 ",Verify that each AI Action is assigned a unique identifier. ,Not applicable. ,"- 12 Record keeping 
- 17 Quality management system (QMS) 
- 19 Automatically generated logs 
192 "
TR-03,Plausibility check,Always relevant. ,The output of the AI system shall be plausible for [inputs]. ,Document-based ,"Supplementary Definitions 
Plausible: The AI system’s output should be credible, reasonable, and appropriate given the con­
text of the inputs. 
Exemplary [parameters] 
[inputs]: e.g., corner cases, boundary values, OOD input, expected Inputs, regular input. 
Additional guidance regarding the requirement 
The model’s decision on failed tests should be explained. ","Verify, using appropriate explanation methods, that the output is reasonable across a variety of 
input cases. Refer to the provided supportive guidance for further clarification. ","Not applicable. 
193 ","- 13 Transparency and provision of information to deployers 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
194 "
TR-04,Protect user from overreliance,"• The model interacts directly with external consumers (Q7) OR 
• The AI system operates autonomously with no human oversight (Q9) ",Measures shall be in place to protect the users from overreliance of the AI system. ,Document-based ,"Supplementary Definitions 
Overreliance: 
The tendency of users to depend excessively on the AI system’s outputs or recommendations, 
potentially leading to reduced human judgment, critical thinking, or oversight, even in cases 
where the AI might produce incorrect or incomplete results. 
Exemplary [parameters] 
[measures]: e.g., informing the user about the performance and robustness of the system, inte­
gration of checks and questions to ensure that the user questions the AI systems output before 
proceeding. 
Additional guidance regarding the requirement 
Not applicable. ","Verify that measures are in place to protect the users from overly reliying on the AI models out­
put. The needed measures depend on the degree of autononmy of the system, human oversight 
measure put in place and the overall risk of the system. 
195 ",Not applicable. ,"- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 14 Human oversight 
- 17 Quality Management System (QMS) 
196 "
TR-05,User awareness of AI interaction,"• The model interacts directly with external consumers (Q7) OR 
• The AI system operates autonomously with no human oversight (Q9) ",Users shall be made fully aware when they are interacting with the AI system and not a human. ,Document-based ,"Supplementary Definitions 
User Awareness: 
Ensuring users clearly understand that they are interacting with an AI system rather than a hu­
man. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
To ensure user awareness, it would be suitable: 
- to explicitly inform the user at the beginning of an interaction, 
- use explicit labels for the system, 
- maintain visible indicators throughout the interaction. ","Confirm that users are adequately informed that they are interacting with an AI system. 
197 ",Not applicable. ,"- 50 Transparency obligations for providers and deployers of certain AI systems 
198 "
TR-06,Marking of AI content,"• The system integrates at least one Generative AI Foundation Model (Q1) OR 
• The model interacts directly with external consumers (Q7) OR 
• The AI system operates autonomously with no human oversight (Q9) ","AI-generated or AI-modified content shall be appropriately marked as AI content using [tech­
niques]. ",Test-based ,"Supplementary Definitions 
AI-Generated Content: 
Content entirely created by an AI system without direct human creation or authorship. 
AI-Modified Content: 
Content that originates from human input but has been altered, enhanced, or adapted by an AI 
system. 
Exemplary [parameters] 
[techniques]: e.g., DNN (Deep Neural Network) Watermarking, Spread-Spectrum Watermarking, 
Perturbation-Based Watermarking, Adversarial Watermarking. 
Additional guidance regarding the requirement 
Not applicable. 
199 ","Review the implementation of techniques as referenced in the supportive guidance, e.g. using 
huggingface, and assess whether they are appropriate. For example, verify if AI-generated or AI­
modified content is appropriately marked as AI content by attempting to remove, alter, or evade 
to test the robustness of the watermarking method with the proposed evaluation tool. ","-Watermark-Robustness-Toolbox - can be used to evaluate the resilience of watermarking tech­
niques by simulating various attacks to determine if AI-generated labels remain intact. ","- 50 Transparency obligations for providers and deployers of certain AI systems 
200 "
TR-07,Provision of tailored explanations and transparency,"• The model interacts directly with external consumers (Q7) OR 
• The model must explain reasoning for specific inference results (Q8) OR 
• The AI system operates autonomously with no human oversight (Q9) ","A tailored explanation of why a particular output has been produced by the AI system shall be 
provided to the users with [explanation method]. ",Test-based ,"Supplementary Definitions 
Tailored Explanation: 
A specific, context-aware description provided to users, detailing the reasoning, factors, or data 
that led the AI system to produce a particular output or decision. The explanation is adapted to 
the user’s needs, expertise, and the complexity of the output 
Exemplary [parameters] 
[explanation method]: e.g., Transparency of the data, the AI algorithm, the inference (if applica­
ble); explainability of the AI system; the model’s decision at the boundary values; the model’s 
decision on corner cases; feature importance; consider local and global model behaviour if nec­
essary. 
Additional guidance regarding the requirement 
Not applicable. 
201 ","Verify that the explanation methods, see supportive guidance, have been properly implemented, 
e.g. using Shap, and that these explanations are readily accessible to users. 
This can be done bysystematicallystress-testing the systmens response consistencywhile check­
ing if explanations remain logically consistent when inputs are slightly altered ","- Counterfactual Testing - can be used to assess if explanations logically shift when similar but 
distinct cases are presented, ensuring the system maintains a valid rationale for different sce­
narios. ","- 13 Transparency and provision of information to deployers 
- 86 Right to explanation of individual decision-making 
202 "
TR-08,Provision of suitable AI system documentation for relevant parties,Always relevant. ,"The necessary technical documentation of the AI system shall be determined for each relevant 
interested party and provide them with the appropriate documentation in a suitable form. ",Document-based ,"Supplementary Definitions 
Interested Parties: 
Individuals or entities who have a vested interest in the AI system and require documentation 
to fulfill their roles or responsibilities. Examples include: 
- Developers and engineers 
- End users 
- Compliance officers and regulators 
- Business stakeholders 
- Supervisory authorities 
- Partners 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Aspects to consider in the documentation/manual: 
- Product version = Specific version number or identifier 
- Quality measures = Metrics such as accuracy, precision, recall 
- User understanding = Comprehension level, ease of use 
203 ","Verify that the documentation includes relevant and necessary information in accordance with 
the supportive guidance, and ensure that it is accessible for the user. ",Not applicable. ,"- 11 Technical documentation 
- 13 Transparency and provision of information to deployers 
- 18 Documentation keeping 
204 "
TR-09,Claims submission and appeal process,"• The model interacts directly with external consumers (Q7) OR 
• The AI system operates autonomously with no human oversight (Q9) OR 
• The model has a societal impact (Q10) ","The system shall allow individuals impacted by it to submit claims and complaints. The user 
feedback should be regularly reviewed. ",Document-based ,"Supplementary Definitions 
User Feedback: 
Any input, complaint, suggestion, or observation provided by users or stakeholders regarding 
their experience with the system. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Details on how to appeal should also be provided to the users. 
Tools which could be used during implementation: 
- Form and Workflow Testing: Selenium 
- Usability Testing Tools: Hotjar 
- Accessibility Testing: Wave 
205 ","Verify that there are instructions on how to submit claims and complaints. Verify that claims 
and complaints can be submitted, e.g. check corresponding tools (see supportive guidance) are 
implemented, e.g., to evaluate user experience. ",Not applicable. ,"- 17 Quality Management System (QMS) 
- 26 Obligations of deployers of high-risk AI systems 
206 "
TR-10,Notification of system use in terms and conditions and EULA,Always relevant. ,"Existing terms and conditions and EULAs shall be reviewed and updated for any AI considera­
tions. ",Document-based ,"Supplementary Definitions 
Terms and Conditions (T&Cs): 
The legal agreement that defines the rules, guidelines, and expectations for users interacting 
with a service or product. It specifies user rights, responsibilities, and liabilities. 
End-User License Agreement (EULA): 
A legal contract between the provider of software or services and the user, granting the user 
rights to use the software while outlining restrictions and obligations. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Considerations should be given to how the AI handles 
- User prompts; 
- Output rights and ownership; 
- Data privacy; 
- Compliance; 
- Liability; 
207 
- Privacy; 
- Limits on how output can be used; 
- Privacy and protection of sensitive data. 
Tools which could be used during implementation: 
- Appropriateness of Language: Grammarly 
- Legal and Compliance Check: Compliance.ai ","Verify that AI considerations are addressed and represented in terms, conditions and EULA. ",Not applicable. ,"Not applicable. 
208 "
